tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,24,ring,297.75,645,536,109,18,1.8001679261125105,0.36607892527287994,0.060453400503778336,20176.0,13296.0,12.588000000000001,12.498000000000001,0.03962684791028437,536,0.13761440297304262,18
621594,24,far,4130.25,8851,7505,1346,185,1.8170812904787845,0.325888263422311,0.04479147751346771,20816.0,21200.0,12.582,12.678,0.021985644558242257,1500,0.06990330365954378,185
621594,25,floor,45.0,71,59,12,7,1.3111111111111111,0.26666666666666666,0.15555555555555556,36848.0,28880.0,10.74,10.716000000000001,0.041594289736735846,59,0.14115335828449815,7
621594,25,ring,336.25,621,477,144,11,1.4185873605947956,0.42825278810408923,0.03271375464684015,22736.0,17104.0,10.734,10.434000000000001,0.050712785073756095,477,0.21043551251165127,11
621594,25,far,4255.0,7931,6082,1849,164,1.4293772032902468,0.4345475910693302,0.03854289071680376,21184.0,20992.0,10.698,10.308,0.0187391348991639,1500,0.0644348436133555,163
621594,26,floor,55.75,72,56,16,3,1.0044843049327354,0.28699551569506726,0.053811659192825115,12216.0,2128.0,12.993,12.924,0.03586597850099338,54,0.0989354028241678,3
621594,26,ring,352.75,590,530,60,9,1.5024805102763996,0.1700921332388377,0.025513819985825654,28912.0,23216.0,12.996,13.062,0.04389377215159129,530,0.17832873247715497,9
621594,26,far,4311.25,7645,6341,1304,130,1.4708031313424181,0.3024644824586837,0.030153667729776748,21488.0,20600.0,12.996,13.176,0.02737629362422922,1499,0.08634999017920109,128
621594,27,floor,59.75,139,115,24,14,1.9246861924686192,0.401673640167364,0.23430962343096234,16608.0,32976.0,10.620000000000001,10.776,0.06851885012173398,115,0.14068440452066966,14
621594,27,ring,415.25,1040,935,105,2,2.251655629139073,0.25285972305839854,0.00481637567730283,27984.0,22208.0,10.632,10.485,0.04889303103914244,935,0.2657940797480194,2
621594,27,far,4496.75,11932,10207,1725,113,2.2698615666870516,0.3836103852782565,0.02512926002112637,22544.0,21648.0,10.638,10.962,0.025350789837148113,1500,0.10768929818880224,113
621594,28,floor,27.25,71,64,7,7,2.3486238532110093,0.25688073394495414,0.25688073394495414,34120.0,30208.0,7.2330000000000005,7.17,0.08466589244508782,64,0.33214424894288186,7
621594,28,ring,304.75,886,795,91,18,2.608695652173913,0.29860541427399506,0.05906480721903199,29920.0,15768.0,7.218,7.083,0.03995244975544665,795,0.13722050323849544,18
621594,28,far,4149.75,13336,11438,1898,117,2.7563106211217545,0.4573769504186999,0.028194469546358215,22184.0,20736.0,7.197,6.864,0.01800539944764523,1500,0.07277829434258365,117
621594,29,floor,26.75,63,47,16,10,1.7570093457943925,0.5981308411214953,0.37383177570093457,22880.0,25560.0,13.326,13.23,0.10274337572275272,47,0.17348570898343496,10
621594,29,ring,307.0,781,686,95,9,2.234527687296417,0.30944625407166126,0.029315960912052116,19520.0,17456.0,13.323,13.23,0.042176708977251565,686,0.2003484404278879,9
621594,29,far,4160.25,13183,10568,2615,100,2.5402319572141097,0.6285679947118562,0.024037017006189532,24336.0,26112.0,13.284,12.882,0.022163202424763995,1500,0.06458227871701183,100
621594,30,floor,39.5,886,587,299,4,14.860759493670885,7.569620253164557,0.10126582278481013,18160.0,28200.0,6.804,7.293,0.059896479776057276,587,0.13258490755092112,4
621594,30,ring,328.5,5335,3496,1839,3,10.642313546423136,5.598173515981735,0.0091324200913242,26808.0,15472.0,6.954,6.582,0.037269411192937696,1500,0.18521113837010716,3
621594,30,far,4228.75,33594,27784,5810,73,6.570263080106415,1.3739284658587052,0.01726278451078924,22480.0,18912.0,6.888,6.642,0.020065765411601433,1500,0.1043005623119484,73
