tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,34,far,4141.5,14641,12546,2095,14,3.029337196667874,0.5058553664131353,0.003380417723047205,23904.0,29168.0,6.456,7.203,0.01859834751482481,1500,0.22068217455390027,14
621594,35,floor,33.5,116,109,7,0,3.253731343283582,0.208955223880597,0.0,16944.0,,9.054,,0.026875797155071268,109,,0
621594,35,ring,319.5,1220,1034,186,0,3.236306729264476,0.5821596244131455,0.0,21472.0,,9.033,,0.047725708944426515,1034,,0
621594,35,far,4195.75,14058,12740,1318,5,3.0364058869093724,0.3141273908121313,0.0011916820592265983,22864.0,14112.0,9.015,8.61,0.01713065704274186,1500,0.1743218431013247,5
621594,36,floor,22.5,101,67,34,0,2.977777777777778,1.511111111111111,0.0,8848.0,,12.408,,0.052549694349522724,67,,0
621594,36,ring,294.5,1212,879,333,0,2.9847198641765704,1.130730050933786,0.0,18048.0,,12.372,,0.03411475486780091,879,,0
621594,36,far,4121.25,12629,11869,760,0,2.8799514710342735,0.18441006976038823,0.0,21344.0,,12.336,,0.01403948980745895,1500,,0
621594,37,floor,22.25,120,99,21,3,4.449438202247191,0.9438202247191011,0.1348314606741573,24144.0,18816.0,15.468,15.396,0.14607356139339345,99,0.2663123296788399,3
621594,37,ring,301.0,1648,1389,259,4,4.614617940199335,0.8604651162790697,0.013289036544850499,18640.0,8248.0,15.552,15.432,0.02962475207289117,1389,0.09795122512858256,4
621594,37,far,4139.0,22613,17029,5584,11,4.114278811307079,1.3491181444793428,0.0026576467745832327,16144.0,13488.0,15.858,15.996,0.017951926007100383,1500,0.13981197708199034,11
621594,38,floor,32.75,141,67,74,8,2.045801526717557,2.2595419847328246,0.24427480916030533,29712.0,34736.0,14.934000000000001,15.024000000000001,0.09893952935294692,67,0.15696307232843765,8
621594,38,ring,320.75,1404,754,650,0,2.3507404520654713,2.0265003897116136,0.0,17840.0,,14.982000000000001,,0.03001679171504179,754,,0
621594,38,far,4203.0,20565,13119,7446,9,3.1213418986438257,1.7715917201998572,0.0021413276231263384,17408.0,15600.0,15.282,14.178,0.020984362886338204,1500,0.21624741820153304,9
621594,39,floor,28.75,111,90,21,0,3.130434782608696,0.7304347826086957,0.0,18944.0,,6.282,,0.06806434843559828,90,,0
621594,39,ring,309.25,1157,971,186,0,3.139854486661277,0.6014551333872271,0.0,21568.0,,6.264,,0.0400364128114461,971,,0
621594,39,far,4164.5,12902,12100,802,0,2.9055108656501383,0.1925801416736703,0.0,22400.0,,6.228,,0.01581332706277294,1500,,0
621594,40,floor,31.25,92,84,8,0,2.688,0.256,0.0,11248.0,,9.021,,0.019954905233475984,84,,0
621594,40,ring,309.5,955,866,89,0,2.7980613893376414,0.2875605815831987,0.0,21656.0,,9.006,,0.038778276391724376,866,,0
621594,40,far,4169.25,11771,11461,310,5,2.7489356598908676,0.07435390058163939,0.0011992564609941837,20512.0,25024.0,8.964,8.178,0.015873025382177275,1500,0.1238411741248342,5
621594,41,floor,37.25,109,89,20,0,2.389261744966443,0.5369127516778524,0.0,7136.0,,12.402000000000001,,0.0170254149221023,89,,0
621594,41,ring,332.0,884,787,97,0,2.3704819277108435,0.2921686746987952,0.0,23728.0,,12.366,,0.03885618291593573,787,,0
621594,41,far,4242.5,11170,10672,498,0,2.51549793753683,0.11738361814967589,0.0,20112.0,,12.351,,0.012876158124441872,1500,,0
621594,42,floor,29.75,74,46,28,0,1.546218487394958,0.9411764705882353,0.0,14728.0,,5.682,,0.04872965435552601,46,,0
621594,42,ring,307.0,547,475,72,0,1.5472312703583062,0.23452768729641693,0.0,24864.0,,5.682,,0.02936300746046072,475,,0
621594,42,far,4158.25,7445,6973,472,4,1.6769073528527625,0.11350928876330187,0.0009619431251127277,23200.0,29096.0,5.676,5.172000000000001,0.013157097570001497,1500,0.055767463866601474,4
