block,permit,name,status,spud_year,permit_year,oldest_for,on_chm,off_chm,deficit,x,y
e1423n2235,083-11869,MIDDLEBROUGH 25,DEP Orphan List,1800.0,1995.0,,22.872018814086914,21.86031723022461,-1.0117015838623047,700324.4672570196,4647214.133850432
e1423n2235,083-11889,MIDDLEBROUGH E 016,DEP Orphan List,1800.0,1995.0,,,,,700691.5803118956,4647224.502076067
e1423n2235,083-11998,WHITEHEAD 01,DEP Orphan List,1800.0,1995.0,,26.45183753967285,26.0377140045166,-0.41412353515625,700442.5413278991,4648191.274039137
e1423n2235,083-42994,MELVIN 029,DEP Abandoned List,1800.0,1984.0,,5.503530979156494,2.760014772415161,-2.743516206741333,698512.1402044094,4647868.2061542105
e1423n2235,083-10659,WILTSIE LEASE 12,DEP Orphan List,1800.0,1995.0,,19.610380172729492,18.627126693725586,-0.9832534790039062,700220.7016844442,4647119.638150757
e1423n2235,083-10688,LAWTON 1,DEP Orphan List,1800.0,1995.0,,18.076374053955078,21.677846908569336,3.601472854614258,700163.4834457965,4648607.236983808
e1423n2235,083-10709,WILSON 19,DEP Orphan List,1800.0,1995.0,,22.532211303710938,22.160505294799805,-0.3717060089111328,699775.6799950153,4648291.488504307
e1423n2235,083-11983,WHITEHEAD 7,DEP Orphan List,1800.0,1995.0,,18.563756942749023,16.723648071289062,-1.840108871459961,700234.5923974349,4648520.896971832
e1423n2235,083-12006,WHITEHEAD 09,DEP Orphan List,1800.0,1995.0,,19.5780029296875,20.804086685180664,1.226083755493164,700305.2683762999,4648458.771057001
e1423n2235,083-12123,K & D 113,DEP Orphan List,1800.0,1995.0,,18.51447296142578,18.885583877563477,0.3711109161376953,700635.4743023814,4648047.259036428
e1423n2235,083-10655,WILTSIE LEASE 10,DEP Orphan List,1800.0,1995.0,,20.49195098876953,22.596223831176758,2.1042728424072266,700095.4178782371,4647238.123259391
e1423n2235,083-11648,GEORGE FARM 3,DEP Orphan List,1800.0,1995.0,,24.064228057861328,22.852075576782227,-1.2121524810791016,699613.4961537274,4648106.9001953155
e1423n2235,083-11993,WHITEHEAD WH 4,DEP Orphan List,1800.0,1995.0,,18.60877799987793,19.265352249145508,0.6565742492675781,700238.9693178936,4648204.085891224
e1423n2235,083-08114,BROOKS 3,DEP Orphan List,1800.0,1990.0,,,,,697441.003887616,4649009.692537585
e1423n2235,083-10694,LAWTON 149,DEP Orphan List,1800.0,1995.0,,16.581466674804688,19.799964904785156,3.2184982299804688,699476.417720183,4648100.045846189
e1423n2235,083-10695,LAWTON 157,DEP Orphan List,1800.0,1995.0,,19.50861358642578,18.794343948364258,-0.7142696380615234,699413.3623780988,4648174.506523359
e1423n2235,083-10698,LAWTON 2B,DEP Orphan List,1800.0,1995.0,,16.85991096496582,19.9926815032959,3.132770538330078,699450.8919874353,4648465.267500763
e1423n2235,083-10705,WILSON 3,DEP Orphan List,1800.0,1995.0,,21.26791000366211,20.193279266357422,-1.0746307373046875,699947.7122146379,4648143.867150678
e1423n2235,083-11662,GEORGE FARM 139,DEP Orphan List,1800.0,1995.0,,24.475004196166992,23.04759407043457,-1.4274101257324219,699349.3427573716,4648820.685416815
e1423n2235,083-11688,BROOKS 49,DEP Orphan List,1800.0,1995.0,,23.671695709228516,23.441038131713867,-0.23065757751464844,697838.63420187,4649105.667804724
e1423n2235,083-11704,BROOKS 66,DEP Orphan List,1800.0,1995.0,,15.72603988647461,20.298290252685547,4.5722503662109375,698287.5276805953,4648969.401910089
