area,block,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,9.5,110541,99.4888774300938
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,10.5,158054,99.34832399053488
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,11.5,108,99.07407407407408
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,12.5,55182,99.28599905766372
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,13.5,110865,99.34605150408154
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,15.5,55666,99.24549994610716
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,16.5,161189,99.24622647947442
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,18.5,110930,99.146308482827
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,19.5,221261,99.1232074337547
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,21.5,108007,99.15653615043468
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,22.5,217036,99.23514992904404
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,24.5,106488,93.09969198407332
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,25.5,214017,74.70107514823589
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,27.5,105601,73.40460791090993
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,28.5,181316,71.9153301418518
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2011-09,008_003021,0.5,747626,99.79535222156532
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2011-09,008_002888,0.5,720002,99.574584515043
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2011-09,008_003022,0.5,660461,99.66069154726776
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2011-09,008_003023,0.5,709031,99.698461703367
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,0.5,76293,99.51109538227622
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,1.5,57429,99.4828396803009
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,2.5,56732,99.50997673270815
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,3.5,57225,99.33071210135432
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,4.5,57215,99.23271869265052
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,5.5,56794,99.30274324752617
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,6.5,76173,99.25039055833432
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,7.5,167341,98.64707393884343
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,8.5,56130,99.01122394441477
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,9.5,111360,98.62607758620688
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,10.5,166154,98.6795382596868
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,11.5,10580,99.15879017013232
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,12.5,56034,98.9006674519042
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,13.5,112138,99.0859476716189
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604594,15.5,55753,98.93279285419618
