OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
101277,API:37121321230000,Pennsylvania,Venango,EICHE DEAN 177Q,,,Orphan,41.501750999999999,-79.541538000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541538000178505,41.501750999708896
101278,API:37121321240000,Pennsylvania,Venango,EICHE DEAN 178Q,,,Orphan,41.500615000000003,-79.543160000000000,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.543160000333700,41.500615000381998
101279,API:37121321250000,Pennsylvania,Venango,EICHE DEAN 179Q,,,Orphan,41.499456000000002,-79.541332999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541332999718094,41.499455999994403
101280,API:37121321260000,Pennsylvania,Venango,EICHE DEAN 180Q,,,Orphan,41.497166999999997,-79.541380000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541380000086903,41.497166999657303
101281,API:37121321270000,Pennsylvania,Venango,EICHE DEAN 181Q,,,Orphan,41.495828000000003,-79.542527000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.542526999921094,41.495827999962302
101282,API:37121321280000,Pennsylvania,Venango,EICHE DEAN 182Q,,,Orphan,41.494734000000001,-79.541521000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541521000293898,41.494733999874299
101283,API:37121321290000,Pennsylvania,Venango,EICHE DEAN 183Q,,,Orphan,41.493716999999997,-79.542471000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.542471000036599,41.493716999739803
101284,API:37121321310000,Pennsylvania,Venango,EICHE DEAN 185Q,,,Orphan,41.494767000000003,-79.538510000000002,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.538509999936494,41.494766999597402
101285,API:37121321320000,Pennsylvania,Venango,EICHE DEAN 186Q,,,Orphan,41.496059000000002,-79.539784999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539785000277504,41.496058999822999
101286,API:37121321330000,Pennsylvania,Venango,EICHE DEAN 187Q,,,Orphan,41.497362000000003,-79.538820999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp.,,-79.538820999889197,41.497361999656597
