length_m,class,faint_score,margin_sigma,n_transects,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
147.4198229407708,faint,-1.316,-0.419,14,0.9405347108840942,train,-1.3159629,-0.6433686,-0.8074927,0.44827873,0.7136489,-0.2434623,0.39706266
70.98388395337511,faint,-0.06,-1.675,7,0.9589334726333618,train,-0.06044786,-0.31929883,-0.24157922,-0.4522581,-0.07934699,-0.054194763,0.42902815
385.5772835723667,bold,-3.733,1.998,38,0.9553767442703247,val,-3.7333093,-2.9971771,-2.9059358,-0.55263466,-0.009977114,-0.59747046,0.85053754
224.01799594118796,bold,-1.806,0.07,22,0.9836375117301941,train,-1.8057679,-1.665526,-1.137369,-0.5259172,0.39926973,0.024661077,0.8774713
211.1227684008682,faint,-1.623,-0.112,21,0.9785932302474976,train,-1.6233331,-2.029057,-1.3397774,0.17737831,0.15440752,-0.78348786,0.69943917
117.65960356903963,bold,-11.277,9.542,11,0.8504993915557861,train,-11.277265,-6.58639,-6.1347785,3.3185499,4.7694364,-3.7005084,0.83934134
100.84125389143122,bold,-5.604,3.869,10,0.8427717089653015,train,-5.604185,-1.6856561,-0.99522805,0.7849487,0.56693166,-2.8923748,0.38232172
331.63433493097136,bold,-5.148,3.413,33,0.8814117312431335,train,-5.1483483,-2.0407789,-2.0609767,0.40660807,-0.13378176,-1.5265781,0.46622434
156.67786449615818,bold,-4.23,2.495,15,0.841734766960144,train,-4.230196,-2.8883865,-2.9354508,0.3869373,0.15223914,-1.9965472,0.69186914
63.39011803359557,bold,-6.534,4.799,6,0.8541041612625122,train,-6.5342164,-4.155594,-4.0875983,0.9417734,1.973479,-3.333877,1.0782822
95.82908263178311,bold,-5.7,3.965,9,0.8307422995567322,train,-5.700196,-2.1139023,-3.44856,2.0332584,4.2915173,-1.507761,0.7696538
318.9763999942369,bold,-4.14,2.405,31,0.8687319755554199,train,-4.1402297,-3.0852346,-3.0457006,1.9174254,1.9951494,-1.7744002,0.46226186
46.53183470799764,bold,-2.476,0.741,4,0.8156067132949829,train,-2.4760077,-1.3185745,-1.4758829,0.00095549226,0.41849816,-0.27260017,0.55246156
603.9710054431785,bold,-5.66,3.925,60,0.8726232647895813,train,-5.660371,-3.1972394,-3.1199446,0.94265306,2.2310734,-1.1081626,0.53403056
49.95586555950722,bold,-7.042,5.306,4,0.853980302810669,train,-7.0417795,-3.6173112,-4.4222193,2.5205116,4.860759,-0.58002603,0.6933575
115.8309206851306,faint,-1.225,-0.51,11,0.8471575379371643,train,-1.2254957,-2.163298,-1.7940018,0.21351871,0.62181395,-0.08981782,0.8970438
213.75656403827088,bold,-3.38,1.644,21,0.9417451620101929,val,-3.3796575,-1.1410077,-0.46333262,-0.031586923,0.873149,-1.785862,0.3520605
419.2541645774965,faint,-1.65,-0.086,41,0.9713112711906433,val,-1.6495048,-0.42142725,-0.57107115,-0.84709436,0.65669423,-0.65491974,0.59272516
275.38265450846774,bold,-2.385,0.65,27,0.730892539024353,val,-2.3854203,-2.4521043,-1.8074964,-1.2863038,-0.105457835,-1.469904,0.8396191
135.44919929459164,bold,-1.777,0.042,13,0.6454182267189026,val,-1.7771558,-1.3997409,-0.9634559,-1.1471922,-0.95582414,-0.9254157,0.628163
483.03109390245595,bold,-1.959,0.224,48,0.9433531165122986,train,-1.9589512,-0.7213051,-0.676293,-0.6969359,-0.27636865,-0.8863523,0.80472505
240.85396002754388,bold,-1.757,0.021,24,0.9616066217422485,train,-1.7565056,-1.8230761,-0.8457596,-1.4409347,-0.020276368,-2.5129151,0.9813669
184.7513368923044,bold,-3.085,1.349,18,0.9345625638961792,train,-3.0847049,-1.0097222,-1.1277115,-2.470912,0.3318088,-1.8375893,0.78645325
158.87045746023387,bold,-2.351,0.616,15,0.832727313041687,train,-2.3512266,-0.76860577,-0.47117296,0.49824858,0.2226695,-1.8177669,0.6975731
73.15476285234129,bold,-4.385,2.65,7,0.8418622612953186,train,-4.3849955,-2.0013132,-2.2933638,0.8524617,1.0863727,-0.21290255,1.2820895
378.454198616362,faint,-1.045,-0.69,37,0.8681094646453857,train,-1.0449741,-1.223323,-1.0995901,-0.14492211,-0.01798747,-0.068514824,0.481025
