parent_road,length_m,class,faint_score,margin_sigma,n_transects,exlabel,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
34,48.27941301,bold,-2.478,0.893,9,unlabelled,0.984425306,train,-2.4777808,-2.2882323,-2.3918018,-0.35116297,0.49864948,0.14747235,0.9321744
34,48.29856287,bold,-1.819,0.234,9,unlabelled,0.987124443,train,-1.8188955,-1.1703365,-1.2029668,-0.64818895,-1.5751125,0.4823054,1.0847954
34,48.23092419,faint,0.041,-1.626,9,unlabelled,0.973547757,train,0.04111858,0.400664,0.38489938,-1.3516562,-0.28684366,-0.4179375,0.61640525
34,48.29346765,faint,-0.182,-1.403,9,unlabelled,0.984120131,train,-0.18247637,0.25246525,0.14108829,-1.2093207,-0.31413496,-0.22376488,0.56735873
34,48.30122979,faint,-1.06,-0.525,9,unlabelled,0.996578932,train,-1.0604745,2.0341036,1.0636964,-1.0217957,-0.2403262,-1.4408871,0.35346413
34,48.30310939,bold,-2.048,0.463,9,unlabelled,0.99752152,train,-2.0481856,2.886573,2.8600156,-1.8129483,-0.36640084,-3.0609968,0.4121356
35,48.17066927,bold,-2.781,1.196,9,unlabelled,0.970996618,train,-2.7808917,-1.2074838,-0.8599068,-0.8046333,0.2877458,-2.6586173,0.97778183
35,48.17001663,bold,-2.606,1.021,9,unlabelled,0.973101139,train,-2.6064954,-1.5499511,-0.89429927,-2.0428367,0.97000265,-3.821117,0.9058753
35,48.07878873,faint,-0.087,-1.498,9,unlabelled,0.974209309,train,-0.08675031,-0.5105479,0.58850473,-1.5464358,2.09817,-2.689793,0.86504316
35,48.09628913,faint,-1.325,-0.26,9,unlabelled,0.924035132,train,-1.3253069,-1.6180426,-1.3135635,-1.3078566,-0.92070746,-0.1285612,0.97732484
35,48.17062025,faint,-0.506,-1.079,9,unlabelled,0.962209225,train,-0.505847,-2.1469111,-1.1259836,-0.23632118,-0.477404,-0.9291388,1.1604359
