OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data file date,Well_info,Location_n,Other_note,x,y
99790,API:37121225670000,Pennsylvania,Venango,WOIDECK 62Q, , ,Orphan,41.503305,-79.519483, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5194830002403,41.5033050003256
99791,API:37121225680000,Pennsylvania,Venango,WOIDECK 63Q, , ,Orphan,41.504266,-79.517841, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.517841000062,41.5042659996762
99792,API:37121225690000,Pennsylvania,Venango,WOIDECK 64Q, , ,Orphan,41.503716,-79.521126, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5211259995652,41.5037160003932
99793,API:37121225870000,Pennsylvania,Venango,J R CUMMINS 11C, , ,Orphan,41.548214,-79.518752, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5187519998049,41.548214000176
99794,API:37121225880000,Pennsylvania,Venango,J R CUMMINS 12C, , ,Orphan,41.547939,-79.516193, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5161929996072,41.5479390000849
99795,API:37121225900000,Pennsylvania,Venango,J R CUMMINS 14C, , ,Orphan,41.547528,-79.513635, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.513635000355,41.5475280000172
99796,API:37121226200000,Pennsylvania,Venango,Quintin Karl Quinn, , ,Orphan,41.497736,-79.735086, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Oakland Twp., ,-79.7350859999189,41.4977359998166
99797,API:37121226210000,Pennsylvania,Venango,Quintin Karl Quinn, , ,Orphan,41.497997,-79.733408, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Oakland Twp., ,-79.7334079998793,41.4979970001615
99798,API:37121227890000,Pennsylvania,Venango,T R POTTS 11, , ,Orphan,41.553154,-79.526976, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.526976000442,41.5531539995575
99799,API:37121227900000,Pennsylvania,Venango,WILSON 1Q, , ,Orphan,41.537608,-79.527529, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5275289998634,41.537608000309
