model,tau,rank,score,recall,precision,fp_per_km2
pit,0.3,215,0.6049623170515874,0.36779324055666,0.8604651162790697,1.855072463768116
pit,0.3,216,0.6049388733749487,0.3697813121272366,0.8611111111111112,1.855072463768116
pit,0.3,217,0.6047848978315491,0.3717693836978131,0.8617511520737328,1.855072463768116
pit,0.3,218,0.6046904721938142,0.37375745526838966,0.8623853211009175,1.855072463768116
pit,0.3,219,0.6046230768534675,0.3757455268389662,0.863013698630137,1.855072463768116
pit,0.3,220,0.6045997246106466,0.37773359840954274,0.8636363636363636,1.855072463768116
pit,0.3,221,0.6044985322848611,0.3797216699801193,0.8642533936651584,1.855072463768116
pit,0.3,222,0.6040905255418985,0.3797216699801193,0.8603603603603603,1.9169082125603865
pit,0.3,223,0.6040896269408139,0.3817097415506958,0.8609865470852018,1.9169082125603865
pit,0.3,224,0.6039506012420042,0.3836978131212724,0.8616071428571429,1.9169082125603865
pit,0.3,225,0.60247884068308,0.3856858846918489,0.8622222222222222,1.9169082125603865
pit,0.3,226,0.6022894061079213,0.38767395626242546,0.8628318584070797,1.9169082125603865
pit,0.3,227,0.6017273728754006,0.38966202783300197,0.8634361233480177,1.9169082125603865
pit,0.3,228,0.6005618892334126,0.39165009940357853,0.8640350877192983,1.9169082125603865
pit,0.3,229,0.6005601526638649,0.39363817097415504,0.8646288209606987,1.9169082125603865
pit,0.3,230,0.6004483064015707,0.3956262425447316,0.8652173913043478,1.9169082125603865
pit,0.3,231,0.6002705439925193,0.3976143141153082,0.8658008658008658,1.9169082125603865
pit,0.3,232,0.6002412865660629,0.3996023856858847,0.8663793103448276,1.9169082125603865
pit,0.3,233,0.600163281591315,0.40159045725646125,0.8669527896995708,1.9169082125603865
pit,0.3,234,0.6000470976227695,0.40357852882703776,0.8675213675213675,1.9169082125603865
pit,0.3,235,0.5999040931663258,0.40357852882703776,0.8638297872340426,1.978743961352657
pit,0.3,236,0.5996586373792245,0.40357852882703776,0.8601694915254238,2.0405797101449274
pit,0.3,237,0.5993335585631625,0.40556660039761433,0.8607594936708861,2.0405797101449274
pit,0.3,238,0.5992941924503872,0.40755467196819084,0.8613445378151261,2.0405797101449274
pit,0.3,239,0.5989270774190297,0.4095427435387674,0.8619246861924686,2.0405797101449274
pit,0.3,240,0.5989009435360249,0.4115308151093439,0.8625,2.0405797101449274
pit,0.3,241,0.5986127232279733,0.4115308151093439,0.8589211618257261,2.102415458937198
pit,0.3,242,0.5983457798358953,0.4135188866799205,0.859504132231405,2.102415458937198
pit,0.3,243,0.5980615906715393,0.415506958250497,0.8600823045267489,2.102415458937198
pit,0.3,244,0.5978054571998576,0.41749502982107356,0.860655737704918,2.102415458937198
pit,0.3,245,0.5977755957018069,0.41749502982107356,0.8571428571428571,2.1642512077294684
pit,0.3,246,0.59772436077828,0.4194831013916501,0.8577235772357723,2.1642512077294684
pit,0.3,247,0.5965713212887446,0.42147117296222664,0.8582995951417004,2.1642512077294684
pit,0.3,248,0.5964587787529091,0.4234592445328032,0.8588709677419355,2.1642512077294684
pit,0.3,249,0.5960998274385929,0.4254473161033797,0.8594377510040161,2.1642512077294684
pit,0.3,250,0.5960226493577162,0.4274353876739563,0.86,2.1642512077294684
pit,0.3,251,0.5959009152545026,0.4294234592445328,0.8605577689243028,2.1642512077294684
pit,0.3,252,0.5955061158355401,0.43141153081510936,0.8611111111111112,2.1642512077294684
pit,0.3,253,0.5954143385092417,0.43141153081510936,0.857707509881423,2.226086956521739
