x,y,kind
699774.4059024816,4646931.910661972,road
699775.628588699,4646907.005767267,road
699776.8512749164,4646882.100872561,road
700127.4756159434,4646774.245878241,road
700150.2822972826,4646777.358275096,road
700172.6504008305,4646783.938991971,road
700194.4332566739,4646791.9586935025,road
700215.3600003596,4646802.244306435,road
700236.325364517,4646812.448629607,road
700258.6361733122,4646818.967562817,road
700281.773545516,4646821.562179786,road
700090.1740716528,4646881.617569822,road
700111.6900987485,4646872.649737635,road
700131.6243751199,4646860.652622485,road
700152.0066997906,4646849.345398217,road
700172.9108534218,4646839.034738672,road
700163.3908705576,4646819.641622419,road
700150.0284944274,4646800.544521907,road
700135.3753792912,4646782.421481767,road
700117.9135372313,4646767.355896328,road
700096.5411634328,4646758.052255333,road
700078.0429589222,4646764.312989542,road
700060.1911324316,4646779.233092216,road
700413.9472974768,4646956.825770658,road
700420.5795732759,4646937.035312225,road
700406.6258643344,4646919.098064816,road
700390.736657315,4646902.8072604695,road
700374.2000398629,4646887.268390239,road
700354.2245812021,4646876.770626661,road
700333.1203112538,4646868.760846017,road
700317.7103700074,4646852.132233897,road
700304.6491690343,4646834.269965753,road
700297.015762649,4646812.991024747,road
700091.5644020513,4646883.307801546,road
700112.9089713485,4646907.724463542,road
700132.9302330303,4646933.778587582,road
700302.6569804985,4646939.729216796,road
700328.4746488959,4646943.056771311,road
700354.0705485506,4646947.4213653365,road
700379.2322846671,4646954.544509498,road
700403.3592781242,4646963.99824803,road
700159.9607487568,4646971.090318778,road
700127.8495715528,4646957.912596336,road
700095.7114708436,4646947.540491231,road
700041.9143872734,4646954.004655649,road
700062.1475317498,4646949.190373989,road
700082.730663435,4646947.4507517535,road
700103.2072781028,4646945.323113441,road
700122.3771202925,4646937.501518385,road
700142.0792458209,4646930.961663377,road
700162.0432193895,4646925.237136804,road
700182.4640919196,4646921.3676537685,road
700203.003401546,4646923.620463909,road
700223.2424207262,4646928.352314957,road
700243.2462793643,4646933.982906363,road
700258.7235058083,4646947.418118464,road
700271.9190727448,4646963.476342972,road
700285.6834111114,4646978.966239057,road
700299.1880322569,4646994.772371693,road
700298.3384283492,4647005.141074372,road
700277.699244148,4647007.690051901,road
700257.1591184353,4647010.955121428,road
700236.6500098226,4647014.409635665,road
700215.9197434274,4647015.1883102795,road
700195.287840721,4647016.643525076,road
700174.9341711705,4647012.6937848,road
700154.7043902978,4647008.37767777,road
700133.9280448805,4647007.505148386,road
700113.13828671,4647006.919146239,road
700094.1074806111,4646999.0960418675,road
700078.013026372,4646985.950508318,road
700066.3374264507,4646969.571468898,road
700061.4815693492,4646949.348820546,road
700306.9318206096,4647004.128614008,road
700335.3715244957,4646996.501000056,road
700363.0259838474,4646986.300470472,road
700389.3948836823,4646973.114860376,road
700413.9472974768,4646956.825770658,road
700306.9318206096,4647004.128614008,road
700284.938090243,4647017.977634183,road
700261.7094237313,4647029.28671936,road
700237.3043300302,4647038.1863538,road
700214.6186851154,4647050.870243189,road
700191.9400206298,4647063.566122147,road
700169.7099667955,4647077.032533761,road
700491.102278877,4647034.459233721,road
700464.2624506726,4647039.257307884,road
700437.0182370744,4647040.87114373,road
700409.6756270714,4647040.2177329445,road
700427.4570693901,4647058.65389902,road
699577.9948803267,4646910.7454819465,road
699580.2344358694,4646886.293639135,road
699581.1589411368,4646861.41771453,road
699583.5709801936,4646836.621549686,road
699584.2718911571,4646811.68609425,road
699587.1812388564,4646786.962300533,road
699588.8551317004,4646762.102834594,road
699592.5653587193,4646737.532326214,road
699478.6292881807,4647024.1321319295,road
699492.9781245738,4647009.187042175,road
699511.9068950542,4647000.507806149,road
699526.1859964818,4646986.018283691,road
699535.2906192363,4646967.371336073,road
699541.3227538973,4646947.602754047,road
699540.1693516675,4646926.841101495,road
699534.1655803698,4646906.989520493,road
699533.2739125107,4646886.273196904,road
699536.0171075226,4646865.635016516,road
699538.894338339,4646845.010689299,road
699541.2197680556,4646824.322824366,road
699539.5484451279,4646803.565945747,road
699538.2712681823,4646782.782420078,road
699541.2569820621,4646762.288341102,road
699529.3887716312,4646762.057093909,road
699516.7818125344,4646778.629126476,road
699504.5011762183,4646795.438172539,road
699491.280899966,4646811.512974944,road
699479.9774889995,4646828.956353204,road
699473.4718856924,4646848.487285049,road
699474.5039218882,4646869.21391379,road
699477.2741528442,4646889.819546285,road
699482.5491322306,4646909.93991979,road
699484.42290339,4646930.603477024,road
699483.771384567,4646951.417339076,road
699532.5611977906,4646898.032311229,road
699528.1085937091,4646925.291553295,road
699528.1072641064,4646952.956463147,road
699529.270899547,4646980.592555181,road
699533.4012512616,4646884.385780331,road
699550.845325226,4646896.24376622,road
699569.6631820236,4646905.873918896,road
699581.6837302231,4646920.177127328,road
699582.2157301293,4646941.309295961,road
699581.3970539315,4646962.427188484,road
699581.6460699233,4646983.557125658,road
699580.1756333355,4647004.606191393,road
699574.3667441834,4647024.81868721,road
699574.0259645887,4647031.912545651,road
